account_id,month_index,segment,income,kyc_risk_score,geo_risk_score,latent_u,dormant_days,spike_amount_ratio,txn_cnt_7d,device_change_flag,channel,past_fraud_flag,expected_loss_model,action,fraud_loss_next_30d,nps_next_30d,complaint_flag,propensity_a,ipw_weight,dr_y_hat,is_spike_event,policy_score,regulator_label
0,0,Prime,13980.546346751582,0.08733225417613315,0.21587994075638525,-1.0331137611945476,338,13.490164557469226,7,0,web,0,25.135922925237804,0,68.53852646149554,-5.838570690434433,0,0.1924920389765365,5.195020039877563,47.982139454000524,1,,ok
0,11,Prime,13980.546346751582,0.08733225417613315,0.21587994075638525,-1.0331137611945476,300,16.190097171616944,3,0,mobile,0,26.48588923231166,1,69.94565525177887,-17.696093734579147,0,0.5561180664923682,1.7981793080511679,33.38200468229596,1,,ok
0,23,Prime,13980.546346751582,0.08733225417613315,0.21587994075638525,-1.0331137611945476,330,24.61752533325047,4,1,branch,0,38.69960331312842,2,12.199763152391743,-6.1301465474106,0,0.337432884721819,2.963552295219845,20.236861005563,1,,review
0,32,Prime,13980.546346751582,0.08733225417613315,0.21587994075638525,-1.0331137611945476,240,6.592112584038016,4,0,mobile,0,21.6868969385222,1,13.164952189523676,-7.778650398751293,0,0.45602660489182856,2.192854516102639,14.1860355071381,1,,ok
0,37,Prime,13980.546346751582,0.08733225417613315,0.21587994075638525,-1.0331137611945476,120,22.360661854180698,6,0,web,0,29.571171573593542,2,26.14567323434047,-19.998185564306333,0,0.3265682791158475,3.0621467666957876,15.723134047423457,1,,review
0,52,Prime,13980.546346751582,0.08733225417613315,0.21587994075638525,-1.0331137611945476,420,17.751018598569214,4,0,web,0,27.2663499457878,2,26.084139439708043,-20.53460758883844,0,0.3009640606921022,3.3226558603056544,6.503847536200496,1,,review
1,18,Prime,18339.401721871378,0.42712520900568013,0.23283445334279204,-2.03521564011014,717,9.191590659913306,9,0,web,0,33.099361039044986,1,30.623533271404362,-8.736838424533763,0,0.4660515940603044,2.145685183238759,37.0528199038223,1,,ok
1,22,Prime,18339.401721871378,0.42712520900568013,0.23283445334279204,-2.03521564011014,90,5.684216229929313,1,0,web,0,31.345673824052987,2,0.09554360231986792,-28.81678750162903,0,0.3666378984403318,2.727486722605531,0.038071043854316144,1,,review
1,29,Prime,18339.401721871378,0.42712520900568013,0.23283445334279204,-2.03521564011014,180,23.40217256158159,5,0,atm,0,40.204651989879125,1,82.06968539664216,-11.885440877393624,0,0.48737115750098037,2.0518243326657846,65.47398370715887,1,,ok
1,34,Prime,18339.401721871378,0.42712520900568013,0.23283445334279204,-2.03521564011014,120,22.782244728054803,5,0,branch,0,39.89468807311573,2,52.03715218586598,-13.286299277789995,0,0.47530968383369443,2.1038914922463245,34.23412804010529,1,,review
1,52,Prime,18339.401721871378,0.42712520900568013,0.23283445334279204,-2.03521564011014,510,24.823442980717267,4,0,branch,0,40.915287199446965,1,90.20305175037706,7.238824679120391,0,0.4862810563953168,2.0564239277852128,68.31652454543023,1,,ok
1,56,Prime,18339.401721871378,0.42712520900568013,0.23283445334279204,-2.03521564011014,90,9.650644662862407,2,0,web,0,33.32888804051953,0,71.25883699541357,-1.0053219955574646,0,0.13188439289328882,7.582398326761277,57.9709279097205,1,,ok
2,4,NearPrime,29290.478945182822,0.059635168704641396,0.24076005788912844,0.677016981320441,478,10.11595723766603,7,0,web,0,29.110299876034496,0,77.76184231577228,-10.387984062795061,0,0.25894830608603203,3.861774634153288,40.84407522612927,1,,ok
2,21,NearPrime,29290.478945182822,0.059635168704641396,0.24076005788912844,0.677016981320441,480,5.581482339380324,4,0,web,0,26.843062426891645,0,72.14271909728242,2.8751024918230392,0,0.3581227650068876,2.792338543406386,31.775125429557853,1,,ok
2,25,NearPrime,29290.478945182822,0.059635168704641396,0.24076005788912844,0.677016981320441,90,10.981342050809435,9,0,mobile,0,29.5429922826062,2,0.0,-18.515558906374395,0,0.24706677763456222,4.047488737960169,-7.425155147583929,1,,review
2,32,NearPrime,29290.478945182822,0.059635168704641396,0.24076005788912844,0.677016981320441,180,19.71229125942907,9,1,mobile,0,41.90846688691602,2,31.988962247066205,-19.616669510678484,0,0.30584687232742164,3.269610025403362,10.03674326965534,1,,review
